Företagsnamn,Orgnr,Tolkning,Kod,Beskrivning,Personnummer,Förnamn,Efternamn,Funktion
125 Kvadrat Ekonomisk förening,7164191632,complete,FAS,Firman tecknas av styrelsen,198307130123,Liv Regina Amelie,Sandberg,Styrelseledamot
125 Kvadrat Ekonomisk förening,7164191632,complete,FAS,Firman tecknas av styrelsen,195804051067,Ylva Margareta,Hedlund,Styrelseledamot
125 Kvadrat Ekonomisk förening,7164191632,complete,FAS,Firman tecknas av styrelsen,197207120606,Elin Anna Kerstin,Örnebring,Styrelseledamot
125 Kvadrat Ekonomisk förening,7164191632,complete,TVÅIF,Firman tecknas två i förening av,195804051067,Ylva Margareta,Hedlund,Styrelseledamot
125 Kvadrat Ekonomisk förening,7164191632,complete,TVÅIF,Firman tecknas två i förening av,198307130123,Liv Regina Amelie,Sandberg,Styrelseledamot
125 Kvadrat Ekonomisk förening,7164191632,complete,TVÅIF,Firman tecknas två i förening av,197207120606,Elin Anna Kerstin,Örnebring,Styrelseledamot
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,165560296740,,Öhrlings PricewaterhouseCoopers AB,Revisor
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,197109030366,Åsa Cecilia,Önfelt,Huvudansvarig revisor
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,197204025006,Åsa Maria,Nordström,Extern verkställande direktör
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,195608057914,Nils Rune,Nordlander,Styrelseledamot
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,195612300037,Alf Arne,Blomqvist,"Styrelseledamot, Ordförande"
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,196112216954,Sven Anders Teodor,Björnberg,Styrelseledamot
Alelion Energy Systems AB,5567107916,partial,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,197204025006,Åsa Maria,Nordström,Extern verkställande direktör
Alelion Energy Systems AB,5567107916,partial,ALL,Ej tolkningsbart,195910204832,Håkan Lennart,Sandberg,Styrelseledamot
Anderssons Lanthandel HB,9165370728,complete,VFS,Firman tecknas var för sig av,196503193606,Karin Anna Kristina,Ibstedt,Bolagsman
Anderssons Lanthandel HB,9165370728,complete,VFS,Firman tecknas var för sig av,193102223751,Åke Alvin,Andersson,Bolagsman
Arvesund Living AB,5563882520,complete,FAS,Firman tecknas av styrelsen,195604191212,Gunnar Bertil,Fröberg,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,VFS,Firman tecknas var för sig av,195605100204,Eva Lena,Häggström,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,VFS,Firman tecknas var för sig av,198206100532,Bengt Henrik Viktor,Jansson,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,FAS,Firman tecknas av styrelsen,195206302423,Lena Emma Carolina,Jansson,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,VFS,Firman tecknas var för sig av,195206302423,Lena Emma Carolina,Jansson,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,FAS,Firman tecknas av styrelsen,198206100532,Bengt Henrik Viktor,Jansson,Styrelseledamot
Aspö Livs och Café Ekonomisk förening,7696214621,complete,FAS,Firman tecknas av styrelsen,195605100204,Eva Lena,Häggström,Styrelseledamot
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,198907113248,Emma Cecilia Marie,Ahlgren,Styrelseledamot
